147,かんきり,きんぞく,きんぞく,
148,かんそうざい,もやせるごみ,かねん,はつねつしないようにちゅういしてください
149,かんでんち,きけんごみ,危,まとめてべつのとうめい・はんとうめいぶくろにいれる
150,かんねつし,もやせるごみ,かねん,りさいくるがこんなんなため
151,きーぼーど,きんぞく,きんぞく,
152,ぎたー（あこーすてぃっく・くらしっく）,もやせるごみ,かねん,つるははずす
153,ぎたー（えれき）,きんぞく,きんぞく,
154,きもの・おび,いるい・ぬのるい,ぬのるい,
155,きゃたつ（きんぞくせい）,きんぞく,きんぞく,
156,きゅうす（きんぞくせい）,きんぞく,きんぞく,
157,きゅうす（とうじきせい）,もやせないごみ,ふねん,
158,きゅうす（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
159,ぎゅうにゅうぱっく,いんりょうようしぱっく,しぱ,きりひらいてひもでじゅうもんじにたばねる
160,ぎゅうにゅうぱっく（うちがわがあるみ・ろうびきかこうのもの）,もやせるごみ,かねん,りさいくるがこんなんなため
161,ぎゅうにゅうびん,びん,びん,なるべくはんばいてんにもどす
162,ぎゅうにゅうびんのふた（かみせい）,もやせるごみ,かねん,
163,きょうかしょ,ざっし,ざっし,ひもでじゅうもんじにたばねる
164,きょうだい（どれっさー）,もやせるごみ,かねん,きょうぶぶんは「ふねん」にだす
165,くーらー（えあこん）,かでんりさいくるほうたいしょうひんもく,かでん,1.りさいくるするかでんせいひんをこうにゅうしたみせか、かいかえをしようとするみせに、りさいくるりょうきんとしゅうしゅううんぱんりょうきんをしはらい、いらいする。2.しのきょかするしゅうしゅううんぱんぎょうしゃに、りさいくるりょうきんとしゅうしゅううんぱんりょうきんをしはらい、いらいする。3.ゆうびんきょくで「かでんりさいくるけん」をこうにゅうし、してい引取ばしょにもちこむ。してい引取ばしょ：(かぶ)たやま 234-8666 つしたかぢゃやこもりうえのまちみなみはまかわ1143 ※えいぎょうび、じかんとうはちょくせつおといあわせください。
166,くーらーぼっくす（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
167,くい（もくせい）,もやせるごみ,かねん,
168,くい（きんぞくせい）,きんぞく,きんぞく,
169,くい（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
170,くぎ,きんぞく,きんぞく,あきかんとうのちいさなきんぞくようきにいれてだす
171,そう・はな,もやせるごみ,かねん,どはとりのぞく
172,くさかりき,きんぞく,きんぞく,ねんりょうはとりのぞく
173,くし（もくせい）,もやせるごみ,かねん,
174,くし（きんぞくせい）,きんぞく,きんぞく,
175,くし（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
176,くし（たけせい）,もやせるごみ,かねん,
177,くし（きんぞくせい）,きんぞく,きんぞく,
178,くし（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
179,くつ（ぬのせい）,もやせるごみ,かねん,
180,くつ（ひかくせい）,もやせるごみ,かねん,
181,くつした,いるい・ぬのるい,ぬのるい,
182,くっしょん,もやせるごみ,かねん,
183,くっしょんのかばー（ぬのせい）,いるい・ぬのるい,ぬのるい,
184,くまで（たけせい）,もやせるごみ,かねん,
185,くまで（きんぞくせい）,きんぞく,きんぞく,
186,くりーにんぐぶくろ,そのたぷらすちっく,たぷら,
187,くれよん,もやせるごみ,かねん,
188,ぐろーぶ,もやせるごみ,かねん,
189,ぐんて,もやせるごみ,かねん,
